IMDb_ID,Title,Directors,Cast,Year,Rating,Genre,Top 250 Rank,Runtimes
0268978,A Beautiful Mind,Ron Howard;,Russell Crowe;Ed Harris;Jennifer Connelly;Christopher Plummer;Paul Bettany;Adam Goldberg;Josh Lucas;Anthony Rapp;Jason Gray-Stanford;Judd Hirsch;Austin Pendleton;Vivien Cardone;Jillie Simon;Victor Steinbach;Tanya Clarke;Thomas F. Walsh;Jesse Doran;Kent Cassella;Patrick Blindauer;John Blaylock;Roy Thinnes;Anthony Easton;Cheryl Howard;Rance Howard;Jane Jenkins;Darius Stone;Josh Pais;Alex Toma;Valentina Cardinalli;Teagle F. Bougere;David B. Allen;Michael Esper;Eva Burkley;Amy Walz;Tracey Toomey;Jennifer Weedon;Yvonne Thomas;Holly Pitrago;Isadore Rosenfeld;Tommy Allen;Dave Bayer;Brian Keith Lewis;Tom McNutt;Will Dunham;Glenn Roberts;Ed Jupp Jr.;Christopher Stockton;Gregory Dress;Carla Occhiogrosso;Matt Samson;Lyena Nomura;Kathleen Fellegara;Betsy Klompus;Stelio Savante;Logan McCall;Bob Broder;Michael Abbott Jr.;Liche Ariza;Michael Arthur;Reggie Austin;Fileena Bahris;Lloyd Baskin;Sean Bennett;Cade Bittner;James Thomas Bligh;Peter Bonilla;Rich Bryant;Dan Chen;Phil Cirincione;Scott Addison Clay;Ty Copeman;Sean Dillon;Berly Ellis;Jonah Falcon;Fabrizio Fante;Scott Fernstrom;Michael Fiore;Mike Fitzgerald;Todd Fredericks;Seth Gabel;Russell Gibson;Gregory Gordon;Evan Hart;Jason Horton;Bryce Dallas Howard;Ron Howard;Vivian Kalinov;Alex Lorre;Monique Marissa Lukens;Dory Manzour;Tiffany Marz;Charles McClelland;Jon M. McDonnell;Arnold Montey;Robert Myers;Ryan O'Connor;Nick Oddo;Charles Pendelton;Reed Penney;Michael C. Pierce;Mills Pierre;Deborah Rayne;Sean Reid;Colby Ryan;Brian Smyj;Ned Stuart;Dave Sweeney;Alessandro Tanaka;Douglas Taurel;John H. Tobin;Jeffrey Christopher Todd;Michael Tota;Jarred Treiber;Ryan Tygh;Erik Van Wyck;James Whalen;Warner Wolf;,2001,8.2,Biography;Drama,149,135
0104694,A League of Their Own,Penny Marshall;,Tom Hanks;Geena Davis;Lori Petty;Madonna;Rosie O'Donnell;Megan Cavanagh;Tracy Reiner;Bitty Schram;Ann Cusack;Anne Ramsay;Freddie Simpson;Renée Coleman;Robin Knight;Patti Pelton;Kelli Simpkins;Neezer Tarleton;Connie Pounds-Taylor;Kathleen Marshall;Sharon Szmidt;Pauline Brailsford;David Strathairn;Garry Marshall;Jon Lovitz;Bill Pullman;Justin Scheller;Eddie Jones;Alan Wilder;Michael Haley;Don S. Davis;Janet Jones;Brenda Ferrari;Téa Leoni;Laurel Cronin;Robert Stanton;Wantland L. Sandel Jr.;Joe Krowka;Harry Shearer;Blaire Baron;Ryan Howell;Brian Boru Gleeson;David Franks;Ryan Olsen;Ellie Weingardt;Larissa Collins;Douglas Blakeslee;Joey Slotnick;Brian Flannery;Stephen Feagley;Rae Allen;Gregory Sporleder;Eddie Mekka;Stephen Mailer;Raymond L. Chapman;Joette Hodgen;Lynn Cartwright;Kathleen Butler;Eunice Anderson;Vera Johnson;Patricia Wilson;Mark Holton;Barbara Erwin;Betty Miller;Eugenia McLin;Barbara Pilavin;Marvin Einhorn;Shirley Burkovich;Dolores 'Pickles' Dries;Shelly Adlard;Vickie Buse;K.C. Carr;Julie Croteau;Tonya Gilles Koch;Kirsten Gretick;Stacey Gustaferro;Lisa Hand;Cheryl Jones;Shelly Niemeyer;Sally Rutherford;Lita Schmitt;Amanda Walker;Brenda Watson;Clint Calvert;Del Close;Thomas Christopher Colby;Sarah Cosgrove-Gaumond;Cris Cunningham;Doug Decker;Andrea Helene;Gary Houston;David L. Lander;Kindra Marra;Megan McCarthy;Ed Quinn;Phil Russell;Keith Schrader;Ray Toler;Robin Wyatt;,1992,7.3,Comedy;Drama;Sport,,128
0310281,A Mighty Wind,Christopher Guest;,Jim Moret;Stuart Luce;Mary Gross;Marty Belafsky;Michael S. Baser;Jared Nelson Smith;Ryan Raddatz;Todd Lieberman;Matthew Joy;Laura Harris;Brian Riley;Harry Shearer;Michael McKean;Christopher Guest;Eugene Levy;Catherine O'Hara;Bob Balaban;Rachael Harris;Tyler Forsberg;Paul Dooley;Jim Ortlieb;Andrew Dickler;Thom Lowry;Keva Rosenfeld;Brian Allen;Danny Merritt;Paul Benedict;Floyd Van Buskirk;Jane Lynch;John Michael Higgins;Parker Posey;Christopher Moynihan;David Blasucci;Patrick Sauber;Steve Pandis;Mark Nonisa;Cameron Sprague;LeShay N. Tomlinson;Mina Kolb;Jim Piddock;Don Lake;Deborah Theaker;Fred Willard;Ed Begley Jr.;Wendel Meldrum;Diane Delano;Jim Jennewein;Richard Hicks;Michael Hitchcock;Larry Miller;Jennifer Coolidge;Michael Mantell;Bill Cobbs;Freda Foh Shen;Darlene Kardon;Scott Williamson;Joe Godfrey;Bruce Gaitsch;Diane Baker;Sunday Stevens;CJ Vanston;,2003,7.2,Comedy;Music,,91
0055353,A Raisin in the Sun,Daniel Petrie;,Sidney Poitier;Claudia McNeil;Ruby Dee;Diana Sands;Ivan Dixon;John Fiedler;Louis Gossett Jr.;Steven Perry;Joel Fluellen;Louis Terrel;Roy Glenn;George DeNormand;Thomas D. Jones;Rudolph Monroe;Ray Stubbs;David Susskind;Bob Sweeney;,1961,8.0,Drama,,128
0044081,A Streetcar Named Desire,Elia Kazan;,Vivien Leigh;Marlon Brando;Kim Hunter;Karl Malden;Rudy Bond;Nick Dennis;Peg Hillias;Wright King;Richard Garrick;Ann Dere;Edna Thomas;Mickey Kuhn;Mel Archer;Walter Bacon;Dahn Ben Amotz;Joe Brooks;Marietta Canty;John George;John Gonetos;Chester Jones;Lyle Latell;Mike Morelli;William H. O'Brien;Maxie Thrower;Charles Wagenheim;John B. Williams;Buck Woods;,1951,8.0,Drama,,122
0181875,Almost Famous,Cameron Crowe;,Billy Crudup;Frances McDormand;Kate Hudson;Jason Lee;Patrick Fugit;Zooey Deschanel;Michael Angarano;Anna Paquin;Fairuza Balk;Noah Taylor;John Fedevich;Mark Kozelek;Philip Seymour Hoffman;Liz Stauber;Jimmy Fallon;Olivia Rosewood;Bijou Phillips;Alice Marie Crowe;J.J. Cohen;Gary Kohn;Ray Porter;Mark Pellington;Eion Bailey;Terry Chen;Rainn Wilson;Erin Foley;Jesse Caron;Charles Walker;Jay Baruchel;Pauley Perrette;Peter Frampton;Zack Ward;Mitch Hedberg;Devin Corey;Pete Droge;Elaine Summers;Eric Stonestreet;Marc Maron;Shane Willard;Chris McElprang;John Patrick Amedori;Kate Peckham;Julia Decker;Brian Vaughan;Anthony Martelli;Zach Clairville;Ian Ridgeway;Isaac Curtiss;Chris Lennon Davis;Scott N. Stevens;Kevin Sussman;Reathel Bean;Tom Riis Farrell;Laura Bastianelli;Samuel Aaron Roberson;Brian Andreasen;Jared Hren;Mary Dragicevich;Aura Barr;Daniel Wilson;William Barillaro;Holly Maples;Matt Griesser;Susan Yeagley;Nicole Spector;Patrick Irmen;Nick Swardson;Cindy Weber;Kris Weber;Kimberly Weber;Kristin Weber;Samer Sourakli;Michelle Moretti;Ana Maria Quintana;Lisa Buchignani;William Mapother;Matt Abrams;Dan Andreiu;Lilly Scourtis Ayers;Tammy Blue;Chadney Brewer;Andrew Briedis;Greg Bronson;Mark Cirillo;Emmy Collins;Rebeca Cristian;Cindy Crowe;Wayne Doba;Bodhi Elfman;Mark J. Ferreri;David C. Fisher;Cole Fraley;Elizabeth Friedman;Kyle Gass;Loic Gisselere;Troy Higgins;Aimee Joy;Michael Layman;Paul McMichael;Melissa Miller;Arnold Montey;Deirdre O'Brien;Marc Antonio Pritchett;Louis E. Rosas;Eric Rosenberg;Shannon Saint Ryan;Brian Savage;Nicki Sixteen;Casey Slade;Abraham Smith;Jimmy Star;Christine Vienna;Larry Weisberg;Jann Wenner;Patrick Williams;Evis Xheneti;,2000,7.9,Adventure;Comedy;Drama;Music,,122
0169547,American Beauty,Sam Mendes;,Kevin Spacey;Annette Bening;Thora Birch;Wes Bentley;Mena Suvari;Peter Gallagher;Allison Janney;Chris Cooper;Scott Bakula;Sam Robards;Barry Del Sherman;Ara Celi;John Cho;Fort Atkinson;Sue Casey;Kent Faulcon;Brenda Wehle;Lisa Cloud;Alison Faulk;Krista Goodsitt;Lily Houtkin;Carolina Lancaster;Mona Leah;Chekesha Van Putten;Emily Zachary;Nancy Anderson;Reshma Gajjar;Stephanie Rizzo;Heather Joy Sher;Chelsea Hertford;Amber Smith;Joel McCrary;Marissa Jaret Winokur;Dennis Anderson;Matthew Kimbrough;Erin Cathryn Strubbe;Thomas J Armstrong;Bruce Cohen;Elaine Corral Kendall;David C. Fisher;James Hunter;Tom Miller;Ronald Reagan;,1999,8.3,Drama,79,122
0069704,American Graffiti,George Lucas;,Richard Dreyfuss;Ron Howard;Paul Le Mat;Charles Martin Smith;Cindy Williams;Candy Clark;Mackenzie Phillips;Wolfman Jack;Bo Hopkins;Manuel Padilla Jr.;Beau Gentry;Harrison Ford;Jim Bohan;Jana Bellan;Deby Celiz;Lynne Marie Stewart;Terence McGovern;Kathleen Quinlan;Ty Crowley;Scott Beach;John Brent;Gordon Analla;John Bracci;Jody Carlson;Del Close;Chuck Dorsett;Stephen Knox;Joe Miksak;George Meyer;James Cranna;Johnny Weissmuller Jr.;William Niven;Al Nalbandian;Bob Pasaak;Christopher Pray;Susan Richardson;Fred Ross;Jan Dunn;Charlie Murphy;Ed Greenberg;Lisa Herman;Mark Anger;Kay Lenz;Caprice Schmidt;Joe Spano;Debralee Scott;Ron Vincent;Donna Wehr;Cam Whitman;Jan Wilson;Suzanne Somers;Warren Knight;Sam McFadin;Kris Moe;Linn Phillips III;George Robinson;Linda Christensen;Jeannette Dilger;Dennis Falt;Paul Lambert;Ken Martinez;Rick May;,1973,7.4,Comedy;Drama,,110
0163651,American Pie,Paul Weitz;Chris Weitz;,Jason Biggs;Jennifer Coolidge;Shannon Elizabeth;Alyson Hannigan;Chris Klein;Clyde Kusatsu;Eugene Levy;Natasha Lyonne;Thomas Ian Nicholas;Chris Owen;Lawrence Pressman;Tara Reid;Seann William Scott;Mena Suvari;Eddie Kaye Thomas;Molly Cheek;Christina Milian;Woody Schultz;Casey Erklin;Annika Hays;Eden Riegel;Justin Isfeld;John Cho;Alexandra Adi;Veronica Lauren;Monica McSwain;Fletcher Sheridan;Robyn Roth;Jamar Cargo;Akuyoe Graham;Katie Lansdale;Jay Rossi;Linda Gehringer;Ashton Dane;Sasha Barrese;Eric Lively;Eli Marienthal;Travis Cody Aimer;Mark Hoppus;Tom Delonge;Scott Raynor;Daniel Spink;James DeBello;Amber Phillips;Clementine Ford;Hilary Angelo;Jasmine Stocken;Jillian Bach;David Kuhn;Dan Coronel;Pete Pallad;J.D. Doyle;Lito Coronel;Markus Botnick;Robby Murakami;Addison Krantz;Alex Nies;Roger Sewell;Donald J. Collins;Ryan Bates;Joe Park;Walter Toole;Travis Petraglia;Richard Schoenberg;Amon Button;Steven Hopkins;Peter McPartlin;Sean Elder;Sean Whitacre;Jon Mark Fabiano;Ian Televik;Joshua Mele;Gian Caputo;Garret Kellenberger;Timothy Sovay;Steven McAfoose;Kevin Tidgewell;Jesse Patterson;Jeff Schwartz;Chris Loudos;Lyle Tomlinson;Sami Atayan;Kurt Zimmerman;Tom Christian;Dustan Beitey;Chris McGnie;Tri C. Nguyen;Kirk Lamitie;Todd Samuel Parker;Casey Affleck;Jennifer Austin;Travis Barker;Ingrid K. Behrens;Blink-182;Sheypan Draus;Mark-Eugene Garcia;Carmi Greene;Jim Henry;Crystal the Monkey;Melissa Noble;Jami Philbrick;Marek Probosz;Marilyn Staley;Tara Subkoff;Chris Weitz;,1999,7.0,Comedy,,95
0305206,American Splendor,Shari Springer Berman;Robert Pulcini;,Chris Ambrose;Joey Krajcar;Josh Hutcherson;Cameron Carter;Daniel Tay;Mary Faktor;Paul Giamatti;Harvey Pekar;Shari Springer Berman;Larry John Meyers;Vivienne Benesch;Barbara Brown;Earl Billings;Danny Hoch;James Urbaniak;Eli Ganias;Sylvia Kauders;Rebecca Borger;Nick Baxter;Allen Branstein;Dick Prochaska;Charles Eduardos;Judah Friedlander;Robert Pulcini;Toby Radloff;Bianca Santos;Maggie Moore;Hope Davis;Mike Rad;Amy K. Harmon;Joyce Brabner;Donal Logue;Molly Shannon;Eytan Mirsky;Rob Grader;Terrence Sullivan;Ebon Moss-Bachrach;Patrick Lafferty;Jesse Perez;Jeff Peters;Ola Creston;Robert J. Williams;James McCaffrey;Madylin Sweeten;Danielle Batone;Jason Stevens;Todd Cummings;Rae Sunshine Lee;Marcus Wynnycky;,2003,7.4,Biography;Comedy;Drama,,101
