IMDb_ID,Title,Directors,Cast,Year,Rating,Genre,Top 250 Rank,Runtimes
11394180,Dick Johnson Is Dead,Kirsten Johnson;,Michael Hilow;Ana Hoffman;Dick Johnson;Kirsten Johnson;Chad Knorr;Kevin Loreque;Vasthy Mompoint;Mary Page Nance;Ira Sachs;Nicole Tio;,2020,7.4,Documentary;Drama,,89.0
6214722,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak;,Lynyrd Skynyrd;Ronnie Van Zant;Gary Rossington;Johnny Van Zant;Bob Burns;Larry Junstrom;Edward King;Judy Van Zant Jenness;Dean Kilpatrick;Bill Fehrs;Lacy Van Zant;Tom Wills;Jimmy Johnson;Alan Walden;Leon Wilkeson;Al Kooper;Billy Powell;Mike Rounsaville;Dwain Easley;Rodney Mills;Devon Gilfillian;Allen Collins;Kevin Elson;Rickey Medlocke;Charlie Daniels;Randall Cooper;Brantley Gilbert;Artimus Pyle;Samuel Torres-Duque;Jim Ladd;JoJo Billingsley;Leslie Hawkins;Cassie Gaines;Steve Gaines;Walter Wiley McCreary Jr.;Randy Bell;Michael Cartellone;Mark Matejka;Peter Keys;Keith Christopher;Dale Krantz-Rossington;Carol Chase;,2018,7.9,Documentary;Biography;Music,,97.0
15101938,Untold: Breaking Point,Chapman Way;Maclain Way;,Mardy Fish;Kevin O'Connor;Tom Fish;Sally Fish;Andy Roddick;Stacey Gardner;Christian LoCascio;Andre Agassi;Lew Brewer;Michael Chang;Jimmy Connors;Jim Courier;Frank Dancevic;Novak Djokovic;Roger Federer;Justin Gimelstob;Randy Gregson;David Letterman;John McEnroe;Patrick McEnroe;Phil McGraw;Andy Murray;Rafael Nadal;Blanche Roddick;Jerry Roddick;Pete Sampras;Gilles Simon;Dennis Van Der Meer;Chris Wallace;Brooklyn Decker;,2021,7.6,Documentary;Sport,,68.0
15085802,Untold: Malice at the Palace,Floyd Russ;,Jermaine O'Neal;Stephen Jackson;Metta World Peace;Reggie Miller;Donnie Walsh;Buddy Frantz;Timothy Smith;Charlie Haddad;Greg Super;Jim Stoinski;Jim Gray;Ben Wallace;Tim Donaghy;Rhonda Wilson;David Gorcyca;Brian Martin;Steve Berthiaume;Aaron Brown;Bob Costas;Steve Garagiola;John Green;Tony Guida;Dan Harris;Jimmy Kimmel;Howard Kurtz;John Mason;Chris Matthews;Keith Olbermann;Pat Riley;Charlie Rose;Kenny Smith;Stephen A. Smith;David Stern;Jamaal Tinsley;Rasheed Wallace;Michael Wilbon;,2021,7.5,Documentary;Crime;Sport,,68.0
6472976,Five Feet Apart,Justin Baldoni;,Haley Lu Richardson;Cole Sprouse;Moises Arias;Kimberly Hebert Gregory;Parminder Nagra;Claire Forlani;Emily Baldoni;Gary Weeks;Cynthia Evans;Brett Austin Johnson;Ariana Guerra;Sophia Bernard;Evangeline Hill;Ivy Dubreuil;Kristopher Perez;Cecilia Leal;Trina LaFargue;Demi Castro;Keianna Nutley;Armando Leduc;Jim Gleason;Phillip Mullings Jr.;Todd Terry;Maxwell Baldoni;Judy McGee Burley;Ken Knight;Michael McQuillan;Christopher Morris;Johnny Otto;Toney Chapman Steele;Sue-Lynn;,2019,7.2,Drama;Romance,,116.0
8258074,Fantastic Fungi,Louie Schwartzberg;,Brie Larson;Andrew Weil;Giuliana Furci;Paul Stamets;Art Goodtimes;Jay Harman;Peter McCoy;Bill Richards;John Stamets;Roland Griffiths;Bob Jesse;Judith Goedeke;Stephen Ross;Charles Grob;Lori Carris;Steve Sheppard;Dennis J. McKenna;Mary P. Cosimano;Suzanne Simard;Eugenia Bone;Michael Pollan;Michael Bossis;Gary Lincoff;Nicholas V. Cozzi;Tony D. Head;Patricia Stamets;Tradd Cotter;William Padilla-Brown;George W. Bush;Richard Nixon;Timothy Leary;,2019,7.5,Documentary,,81.0
5795282,This Changes Everything,Tom Donahue;,Reese Witherspoon;Mira Nair;Shonda Rhimes;Tracee Ellis Ross;Jessica Chastain;Mellody Hobson;Patty Jenkins;Geena Davis;Joey Soloway;Maria Giese;Rashida Jones;Meryl Streep;Callie Khouri;Sandra Oh;Lauren Shuler Donner;Tiffany Haddish;Lesli Linka Glatter;Lena Dunham;Chris Nee;Natalie Portman;Catherine Hardwicke;Heather Graham;Matt McGorry;Glen Mazzara;Marisa Tomei;Cate Blanchett;Taraji P. Henson;Rose McGowan;Gabrielle Carteris;Amy Brenneman;Mary-Louise Parker;Jackie Cruz;Rosario Dawson;Zoe Saldana;Amandla Stenberg;Mara Brock Akil;Anna Serner;Julie Dash;Brit Marling;Anita Hill;Yara Shahidi;Brenda Chapman;Walter Hickey;Marg Helgenberger;Gillian Anderson;Ellen Pompeo;Yudi Bennett;Kimberly Peirce;Cherien Dabis;Kalpana Kotagal;Robin A. Wright;Sharon Stone;Chloë Grace Moretz;Sherry Lansing;Alan Alda;Jeanine Basinger;Hilary Hallett;Shelley Stamp;Maya Montañez Smukler;Clifford Alexander;Caroline Heldman;Madeline Di Nonno;Keri Putnam;Nina Jacobson;Stacey Sher;Hartwig Adam;Ellen Tejle;Baker Karim;Rachel Feldman;Stacy Title;Jennifer Siebel Newsom;Joelle Dobrow;Susan Bay Nimoy;Victoria Hochberg;Lynne Littman;Nell Cox;Melissa Goodman;Juliet Williams;Jenni Gold;Gillian Thomas;Howard A. Rodman;Gavin Polone;Victoria Alonso;Kevin Huvane;Judd Apatow;Jeremy Zimmer;Courtney A. Kemp;Paula Weinstein;Paul Feig;Peter T. Grauer;Susan Lyne;Betsy Beers;Chris Silbermann;Maureen Ryan;John Landgraf;Amber Tamblyn;Blair Rich;Sarah Bibbo;Stephen Burrows;Viola Davis;Maya Deren;Denise Di Novi;Mariama Diop;Deborah Kaplan;Stanley Mathabane;Susan Sarandon;Nancy Schreiber;Cathy Schulman;,2018,7.8,Documentary,,96.0
4807408,The Best of Enemies,Robin Bissell;,Taraji P. Henson;Sam Rockwell;Babou Ceesay;Anne Heche;Wes Bentley;Nick Searcy;Bruce McGill;John Gallagher Jr.;Nicholas Logan;Gilbert Glenn Brown;Caitlin Mehner;Dolan Wilson;Morgan Mackey;Kendall Ryan Sanders;Chris Cavalier;Malerie Grady;Ryan Dinning;Najah Jackson;Bethany DeZelle;David Plunkett;Al Hamacher;McKenzie Applegate;Brody Rose;Carson Holmes;Nadej K. Bailey;Kevin Iannucci;Susan Williams;Lucius Baston;Jeanette Branch;Jessica Miesel;Rachel Bagley;Charles Orr;Tim Ware;Jill Jane Clements;Ned Vaughn;Dawntavia Bullard;Sope Aluko;Coley Campany;Elizabeth Omilami;Arin Logan;Kameron Kierce;Charles Black;Aaron K Smalls;Hope Leigh;Bart Hansard;Jeremy Daniel Madden;Morgan Brown;Robert Harvey;Cranston Johnson;Afemo Omilami;Jack Montague;Chanté Bowser;Rhoda Griffis;Wilbur Fitzgerald;Shane Jackson;Chanel Young;Michael Hyland Cole;Shane Biseell;Annie Cook;Rae Olivier;Lindsey Moser;Lexston Bearss;Fred Bobbitt;Jasmine Bolton;Anastasia Burnett;James Burns;Andrea Antonio Canal;Timothy Carr;Lucie Carroll;Michael H. Cole;Joy Johnson Coleman;John Collier;Marcy Conway;Kyle Crawford;Aidan Daly;Steven Dutton;Jacob Evans;Martin Feigen;Curtis Gammage;Michele Garren;Clifford Gay;Cecil M. Henry;Thomas Mark Higgins;Maxwell Highsmith;Jon Horstman;Lauren Jenkins;Sierra D Jones;Rae Jordan;Jeffrey Kimble;Tweed Michael Manning;Wes McGee;Perla Middleton;Timothy D. Montjoy;Devito Parker Jr.;Mason Pike;Michael G. Plumides Jr.;Letecia Reeder;Milton Saul;Jared Sawyer Jr.;Jennifer Sears;Ashley Shanea;Kimberly Shires;Wayne Smith Jr.;Alyssa Marie Stilwell;Shannon Thomas;Elizabeth Thorp;Joey Thurmond;Isaac Tillman;Lina Zalewski;,2019,7.3,Biography;Drama;History,,133.0
11906032,Picture a Scientist,Ian Cheney;Sharon Shattuck;,Mahzarin Banaji;Raychelle Burks;Kathryn Clancy;Nancy Hopkins;Paula Johnson;Adam Lewis;Corinne Moss-Racusin;Jane Willenbring;,2020,7.8,Documentary,,103.0
14539726,Breaking Boundaries: The Science of Our Planet,Jonathan Clay;,David Attenborough;Elena Bennett;Jason Box;Terry Hughes;Anne Larigauderie;Cheikh Mbow;María Neira;Carlos Nobre;Veerabhadran Ramanathan;Johan Rockström;Daniella Teixeira;Greta Thunberg;Ricarda Winkelmann;,2021,7.9,Documentary,,73.0
