IMDb_ID,Title,Directors,Cast,Year,Rating,Genre,Top 250 Rank,Runtimes
11394180,Dick Johnson Is Dead,Kirsten Johnson;,Michael Hilow;Ana Hoffman;Dick Johnson;Kirsten Johnson;Chad Knorr;Kevin Loreque;Vasthy Mompoint;Mary Page Nance;Ira Sachs;Nicole Tio;,2020,7.4,Documentary;Drama,,89
5164438,The Starling,Theodore Melfi;,Melissa McCarthy;Chris O'Dowd;Kevin Kline;Timothy Olyphant;Daveed Diggs;Skyler Gisondo;Laura Harrier;Rosalind Chao;Kimberly Quinn;Loretta Devine;Jesse Garcia;Edi Patterson;Emily Tremaine;Dickson Obahor;Ravi Kapoor;Owen Atlas;Gustavo Gomez;Carla Gallo;Yvette Freeman;Dan Bakkedahl;Scott MacArthur;Joshua Funk;Lauri Johnson;Don McManus;Cynthy Wu;Tom Everett;Jenica Bergere;Veronica Falcón;Brock Brenner;Isla Sellers;Nancy De Mayo;Poet Henderson;Paloma Clark;Jeanne Carr;Vicki Jo Costanzo;Amje Elharden;Elisabeth Röhm;Michael Eshaun York;,2021,6.3,Comedy;Drama,,102
7737528,Kate,Cedric Nicolas-Troyan;,Mary Elizabeth Winstead;Woody Harrelson;Miku Patricia Martineau;Tadanobu Asano;Jun Kunimura;Michiel Huisman;Miyavi;Mari Yamamoto;Hirotaka Renge;Kazuya Tanabe;Cindy Sirinya Bishop;Amelia Crouch;Ava Caryofyllis;Gemma Brooke Allen;Hiroyuki Kobayashi;Koji Nishiyama;Kazuhiro Muroyama;Shinji Uchiyama;Byron Bishop;Kimio Yamada;Ryo Tanaka;Hanazumi;Masahiro Kanemaru;Takuya Sano;Nobu T Watanabe;Genki Yamasaki;Patrick Newall;Apparekoizumi;Geoffrey Giuliano;Sô Nozawa;Takayuki Yamamoto;Andrew Macdonald;Eoin O'Brien;Miku Kobato;Kanami Tono;Akane Hirose;Misa;Saiki Atsumi;Elysia Rotaru;Darin Fujimori;Kwang Bin;Bando Hirohichiro;Ryuyo Kawamoto;Ryotaro Fujiyama;Katsuyoshi Kojima;Yuya Shirakawa;Leigh Barwell;Mav Kang;Ulf Pilblad;Akihiko Sai;Kimberly Sellers;Nicholas Verdi;,2021,6.2,Action;Adventure;Crime;Drama;Thriller,,106
6214722,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak;,Lynyrd Skynyrd;Ronnie Van Zant;Gary Rossington;Johnny Van Zant;Bob Burns;Larry Junstrom;Edward King;Judy Van Zant Jenness;Dean Kilpatrick;Bill Fehrs;Lacy Van Zant;Tom Wills;Jimmy Johnson;Alan Walden;Leon Wilkeson;Al Kooper;Billy Powell;Mike Rounsaville;Dwain Easley;Rodney Mills;Devon Gilfillian;Allen Collins;Kevin Elson;Rickey Medlocke;Charlie Daniels;Randall Cooper;Brantley Gilbert;Artimus Pyle;Samuel Torres-Duque;Jim Ladd;JoJo Billingsley;Leslie Hawkins;Cassie Gaines;Steve Gaines;Walter Wiley McCreary Jr.;Randy Bell;Michael Cartellone;Mark Matejka;Peter Keys;Keith Christopher;Dale Krantz-Rossington;Carol Chase;,2018,7.9,Documentary;Biography;Music,,97
15101938,Untold: Breaking Point,Chapman Way;Maclain Way;,Mardy Fish;Kevin O'Connor;Tom Fish;Sally Fish;Andy Roddick;Stacey Gardner;Christian LoCascio;Andre Agassi;Lew Brewer;Michael Chang;Jimmy Connors;Jim Courier;Frank Dancevic;Novak Djokovic;Roger Federer;Justin Gimelstob;Randy Gregson;David Letterman;John McEnroe;Patrick McEnroe;Phil McGraw;Andy Murray;Rafael Nadal;Blanche Roddick;Jerry Roddick;Pete Sampras;Gilles Simon;Dennis Van Der Meer;Chris Wallace;Brooklyn Decker;,2021,7.6,Documentary;Sport,,68
4738912,A Champion Heart,David de Vos;,Mandy Grace;Devan Key;Donna Rusch;David de Vos;Isabella Mancuso;Ariana Guido;Caris Kozak;Steven Kirk;Candace Kozak;Jackie Kozak;Todd Wilkerson;Matthew Reithmayr;Dana Risvold;Taylor James;Maya Primeau;Stephanie de Vos;Joe Mancuso;Faith Beisel;Frederick Fozounmayeh;Fosi Fozounmayeh;Sunny Hoffman;Shirin Fozounmayeh;Michelle Fozounmayeh;James Mulligan;Ashlynne Mulligan;Sawyer Mulligan;Debbie Price;Lauryn Emily Arroyo;Jessica Huff;Parker Hupf;Austin Brooks;Dan Moberly;Karen Harper;Ryan O'Quinn;Abby de Vos;Bonnie de Vos;Jim de Vos;Joelle Mancuso;Ashtyn Risvold;Caitlyn Robertson;Marley Anderson;Mallorie Mauss;Ian Robertson;,2018,5.9,Family,,90
4841640,Janoskians: Untold and Untrue,Brett Weiner;,Connor Ball;Brittany Behrns;Dustin Belt;Beau Brooks;Gina Brooks;Jai Brooks;Luke Brooks;Ashley Bruce;Jenelle Bruce;Mark Rovira Cenar;Meg DeAngelis;Elena Del Real;Ronnie Diamond;Tristan Evans;Faydee;Jacob Fulton;Janina Gavankar;Grant Gibson;Jack Gilinsky;Nash Grier;Gabrielle Jeanette Hanna;Jack Johnson;Jermaine Johnson;Collins Key;Maz Listhrop;James McVey;Dani Modena;Daniel Sahyounie;Kaleen Sanchez;Kendall Schmidt;Jay Sean;Brad Simpson;Jeremy Skaller;Tiffanie Tellez;Kelsea Webb;Seth Wozniak;James Yammouni;,2015,4.4,Comedy,,88
1230168,Same Kind of Different as Me,Michael Carney;,Greg Kinnear;Renée Zellweger;Djimon Hounsou;Jon Voight;Olivia Holt;Austin Filson;Geraldine Singer;Daniel Zacapa;Dana Gourrier;Thomas Francis Murphy;Ann Mahoney;Theodus Crane;David Dino Wells Jr.;Pedro Lucero;Mary Hunter Johnston;Lucky Johnson;David Jensen;Trey McGriff;Michael Southworth;Ashton Cotton;Bradford Whalen;Tonea Stewart;Mykel Shannon Jenkins;Nyles Steele;Stacy Hall;Jason Frannino;Peyton Wich;Ty Parker;Lara Grice;Rudy Eisenzopf;Monica Louwerens;John Keenan;Kenda Benward;John Newberg;Al Mitchell;O.S. Hawkins;Vince Pisani;Griffin Donnell;Dan White;Mark McCormack;Jaclyn Bethany;Emanuel Brooks;Cameron Crates;Campbell Crates;Tyler Galpin;Lamar Lott;Justin Mabry;Allison Pittman;Emerson Rhinewalt;Fran Robertson;Leslie Saucier;Stephanie Leigh Schlund;Wendie Sheppard;Anne Speed;John Teal Jr.;Calvin Williams;,2017,6.7,Biography;Drama,,119
8722624,Really Love,Angel Kristi Williams;,Kofi Siriboe;Yootha Wong-Loi-Sing;Uzo Aduba;Tristan Mack Wilds;Naturi Naughton;Suzzanne Douglas;Jade Eshete;Blair Underwood;Michael Ealy;J. Arthur E. Brooks;Maria Broom;Bobby J. Brown;Dominique Cooper;Julie-Ann Elliott;Michael Gabel;GoldLink;Ka'ramuu Kush;Kyle Schliefer;Paul Singh;David Kenneth Sommerville;Debbi Terrell;Spencer Trinwith;Michael Alban;Jacqueline Green;Tob;Leslie Barnett;J. Brooks;Bryndis Davis;Victor Ellis;Valerie Grace;Dominic Jackson;Gina Jun;Tiana Melvina;Stephanie Parker;Kelsey Saunders;William Shipman;Funmi Sodipo;Ijon Stewart;Marla Aaron Wapner;Marisol Correa;Maggie Lovitt;Lolita Marie;Phil Notarange;Ramona Rideout;,2020,6.1,Drama;Romance,,95
12829958,The Old Ways,Christopher Alender;,Brigitte Kali Canales;Andrea Cortés;Julia Vera;Sal Lopez;AJ Bowen;Weston Meredith;Julian Lerma;Elizabeth Phoenix Caro;Michelle Jubilee Gonzalez;,2020,5.4,Drama;Fantasy;Horror;Thriller,,90
